"KEY_ID","ENDC","CMNTS"
"AV-TSY-0480","P2FU:Y | P2MO:Y | P2HE:Y | P2HE:Y | P2HE:Y | B106:Y | P2MO:Y | P2FU:Y | P2FU:LY | P2MO:Y | P2FU:Y | P2HE:Y | P2MO:Y | B106:Y","P2MO:24/nov | B106:avaliar segunda | P2HE:8/fev | P2FU:23/jun | P2FU:02/fev | P2MO:18/jan | P2OD:03/jul | P2MO:21/jun | P2HE:plantas dominadas  | P2FU:23/jun | P2MO:24/nov | P2MO:18/jan | P2OD:03/jul | P2MO:material desuniforme | P2MO:21/jun | B106:09/jan | P2MO:mais amarelo | P2HE:data | P2FU:02/fev | P2HE:8/fev | B106:09/jan"
"AV-TSY-0495","BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow","BR_GO_CRISTALINA_AGRITER_2024:01:Very nice plant, strong ear  | BR_GO_GOIATUBA_HEINZ_2024:01:Quase zerado cs"
"AV-TSY-0518","P1FU:Y | P1MO:RY | P1MO:Y | P1OD:Y | B105:Y | B105:Y | P1FU:Y","B105:16/jun | P1FU:29/jun | B105:germ não colher | P1MO:25/jun | P1FU:29/jun | P1MO:germ issue | P1MO:germ issue | B105:não colher | B105:16/jun | P1MO:25/jun | P1FU:não colher  | P1OD:05/jul"
"AV-TSY-0524","P1OD:LY | P1MO:Y | B105:LY | P1FU:Y | B105:LY | P1FU:Y | P1MO:LY","P1FU:27/jun | P1FU:27/jun | P1OD:07/jul | B105:14/jun | P1MO:27/jun | B105:14/jun | P1MO:27/jun"
"AV-TSY-0527","P1OD:Y | B105:Y | P2MO:Y | P2MO:Y | P2HE:Y | D103:Y | P2MO:Y | P1OD:Y | B105:Y | D103:Y | P2FU:Y | P2AG:Y | P1MO:Y | P2FU:Y | P1FU:RY | P1FU:Y | P2MO:Y | P2AG:Y","P2MO:24/jan | B105:10/jun | P1FU:23/jun | B105:10/jun | P2HE:12/fev | P1FU:23/jun | P2AG:13/jul | P2MO:22/jan | P2AG:13/jul | P1MO:23/jun | P2AG:plantas mortas | P1OD:05/jul | P2MO:17/jun | D103:09/jun | P2HE:planta muito boa, espiga calibre pequeno  | P2MO:15/jun | P2FU:04/fev | D103:09/jun | P2FU:04/fev | P1OD:05/jul"
"AV-TSY-0532","B105:Y | P1FU:Y | B105:Y | P1OD:Y | P1MO:Y | P1MO:Y | P1FU:Y","B105:14/jun | P1OD:05/jul | P1MO:23/jun | P1FU:27/jun | B105:16/jun | P1FU:27/jun | P1MO:23/jun"
"AV-TSY-0535","P1MO:LY | P1MO:LY | B105:LY | P1FU:LY | P1OD:LY | P1OD:LY | B105:LY | P1FU:LY","P1FU:27/jun | P1FU:27/jun | P1OD:01/jul | B105:12/jun | P1MO:23/jun | B105:12/jun | P1OD:01/jul | P1MO:23/jun"
"AV-TSY-0536","P1OD:LY | P1FU:LY | P1FU:LY | P1MO:LY | B105:LY | B105:LY","P1FU:27/jun | B105:12/jun | P1MO:25/jun | P1FU:27/jun | P1OD:05/jul | B105:12/jun"
"AV-TSY-0546","P2HE:Y | P1MO:Y | B105:LY | P1MO:Y | P2MO:Y | P1FU:Y | P1OD:Y | P2FU:Y | P1FU:Y | B105:LY | P2FU:Y | P1OD:Y | P2HE:Y","B105:14/jun | P2FU:09/fev | P1OD:07/jul | P1MO:27/jun | P2MO:ponta abriu | P2MO:22/jan | P2FU:09/fev | P2HE:14/fev | P1MO:estraga a ponta | P2HE:14/fev | P1FU:23/jun | P1MO:27/jun | P1FU:23/jun | P1OD:07/jul | B105:16/jun | P1MO:tende a estragar a ponta"
"AV-TSY-0549","B105:LY | P1MO:LY | P1MO:LY | P1FU:LY | P1OD:LY | P1OD:LY | B105:LY | P1FU:LY","P1OD:05/jul | P1OD:05/jul | P1MO:23/jun | B105:12/jun | B105:12/jun | P1MO:um pouco de silk balling | P1FU:23/jun | P1MO:23/jun | P1FU:23/jun"
"AV-TSY-0554","P1OD:LY | P1MO:LY | P1FU:LY | B105:LY | P1OD:LY | B105:LY | P1FU:LY","B105:10/jun | P1MO:23/jun | P1FU:25/jun | P1FU:25/jun | B105:14/jun | P1OD:05/jul | P1OD:05/jul"
"AV-TSY-0559","P1OD:LY | P1FU:LY | B105:LY | B105:LY | P1MO:LY | P1FU:LY","P1MO:21/jun | P1FU:23/jun | P1OD:silk balling  | P1FU:21/jun | B105:silk balling | B105:silk balling  | P1OD:01/jul | B105:10/jun | B105:10/jun"
"AV-TSY-0565","P1OD:LY | P1FU:LY | B105:LY | P1MO:Y | P1OD:Y | P1FU:LY | P1MO:Y | B105:LY","P1OD:01/jul | P1FU:23/jun | P1FU:23/jun | B105:08/jun | P1MO:19/jun | B105:08/jun | P1MO:19/jun | P1OD:01/jul"
"AV-TSY-0573","P1FU:LY | P1MO:LY | P1FU:LY | B105:LY | P1OD:Y | P1OD:LY | P1MO:LY | B105:LY","P1OD:01/jul | P1MO:23/jun | B105:14/jun | P1FU:25/jun | P1MO:23/jun | P1FU:25/jun | B105:16/jun | P1OD:01/jul"
"AV-TSY-0574","P1FU:LY | D103:Y | P2MO:Y | P2FU:LY | P2AG:Y | P2SF:LY | P2OD:Y | P2AG:Y | P1MO:Y | D103:Y | P2OD:LY | P2HE:LY | P2MO:LY | P2MO:Y | P2HE:LY | B105:LY | P1MO:Y | B105:Y | P1OD:Y | P2HE:LY | P2FU:Y | P2SF:Y | P1OD:Y | P2MO:LY | P2HE:LY | P1FU:Y","P2MO:15/jun | P2HE:12/fev | P1FU:23/jun | B105:10/jun | P2SF:ponta estragou um pouco, pouco aberta | P2SF:23/nov | P2GV:21/nov | P1MO:23/jun | P1FU:23/jun | P2FU:06/fev | P2GV:21/nov | P2HE:18/jun | B105:10/jun | P2HE:tende dar duas espigas  | P2AG:15/jul | P2OD:05/jul | P1OD:03/jul | P2HE:18/jun | P2SF:11/jul | P1MO:23/jun | P1OD:03/jul | P2HE:12/fev | P2OD:05/jul | P2MO:22/jan | P2SF:21/nov | P2SF:11/jul | P2HE:varias duas espigas  | D103:09/jun | P2MO:17/jun | P2FU:06/fev | P2MO:22/jan | D103:11/jun | P2HE:planta mais alta, com inserção alta, atenção  | P2AG:13/jul"
"AV-TSY-0579","BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow","BR_GO_GOIATUBA_HEINZ_2024:01:Sentiu pouco mais cs  | BR_GO_GOIATUBA_HEINZ_2024:01:Bom calibre, algumas cs,  | BR_GO_CRISTALINA_AGRITER_2024:01:EAR Diplodia  | BR_GO_CRISTALINA_FUGINI:Ear diplodia "
"AV-TSY-0580","BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow","BR_GO_GOIATUBA_HEINZ_2024:01:Espigou bem apesar de um pouco cs foliar | BR_GO_GOIATUBA_HEINZ_2024:01:Muito bom cs, bem espigado | BR_GO_CRISTALINA_AGRITER_2024:01:Strong ear "
"AV-TSY-0641","P2FU:LY | P2AG:LY | P2AG:LY | P2SF:LY | P2MO:LY | E205:LY | P2MO:LY | E205:LY | P2FU:LY | P1MO:Y | D102:Y | D102:Y | P2SF:LY","P2SF:09/fev | P2AG:espiga boa, planta um pouco mais fraca comparado com 642, drop pela linhagem  | P2MO:espiga pesada, excelente híbrido uma pena a linha  | P2FU:muito parecido com 642 porém mais alto e planta menos vigorosa característica 251 | P2SF:09/fev | P1MO:15/jun | E205:acamou um pouco | P2AG:pouco ht | E205:21/jan | P2AG:06/fev | P2FU:10/fev | E205:5222RU cuidado muito HT | P2SF:infelizmente terá que drop 5222RU, híbrido bom | P2FU:10/fev | D102:07/jun | D102:07/jun | P2MO:16/fev | P2AG:06/fev | E205:21/jan | P2MO:14/fev"
"AV-TSY-0642","P1AG:Y | P2AG:LY | P1AG:LY | P2FU:LY | P2FU:LY | E205:LY | P2AG:LY | E205:Y | P1MO:Y | D102:LY | D102:LY | P1MO:Y","P2FU:uma pena a linhagem  | E205:muito ht cuidado com a 5222 grm | P1MO:17/jun | P2AG:ht considerável, híbrido muito bom se a linhagem germinasse  | E205:21/jan | P2AG:híbrido muito bom, mas a linhagem não germina 5222, sentiu um pouco HT | P1MO:pcm | P1AG:14/jul | D102:09/jun | P2AG:06/fev | P1MO:17/jun | E205:21/jan | P1AG:12/jul | P1AG:l | P2FU:melhor híbrido do ensaio | P2AG:06/fev | D102:07/jun"
"GSS2576","BR_GO_CRISTALINA_FUGINI:Light Yellow | BR_GO_MORRINHOS:Light Yellow | P23C:LY | P1FU:LY | P23M:LY | P23H:LY | A203:LY | A203:LY | A201:LY | P23F:LY | A202:LY | P1AG:LY | BR_GO_CRISTALINA_FUGINI:Light Yellow | P23M:Y | P1AG:LY | P23C:LY | A203:LY | A203:LY | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_MORRINHOS:Light Yellow | P1FU:LY | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | P23F:LY | P1AG:LY | BR_GO_MORRINHOS:Light Yellow | A203:LY | A203:LY | A203:LY | A203:LY | A201:LY | P23M:LY | BR_GO_MORRINHOS:Light Yellow | P23S:LY | P23H:LY | P1FU:LY | A203:LY | P23S:LY | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Light Yellow | P1MO:LY | P23M:Y | P1MO:LY | BR_GO_MORRINHOS:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | A201:LY | BR_GO_CRISTALINA_FUGINI:Light Yellow | A202:LY | P23A:LY | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | P1MO:LY | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | A203:LY | A203:LY | BR_GO_CRISTALINA_FUGINI:Light Yellow | A203:LY | BR_GO_MORRINHOS:Light Yellow | P23A:LY | BR_GO_CRISTALINA_FUGINI:Light Yellow","BR_GO_GOIATUBA_HEINZ_2024:01:Padrao de espiga mais fraco, precisa de populacao  | BR_GO_GOIATUBA_HEINZ_2024:01:Mesmo com o hsc da area ter ficado maior aqui nao melhorou  | P23M:mais afetado que 1rep, continua desuniforme  | A201:nice ear but no kernel depth and tip fill, plant ok | P23A:02/02 planta boa, espiga fraca  | P1FU:esse bloco está bem enfezado  | A203:CS | A202:16/jan | P23F:sem calibre | P23C:01/nov | A203:low tender  | A202:ear size and KRN low  | P1AG:06/fev | P1FU:cs afetou espiga | A201:good foliar  | A201:15/jan | P23A:08/fev | A203:14/jan | A203:14/jan | P1MO:sentiu cs na espiga | A203:nice qual, shallow kernels stong plant  | A203:CS | P23C:parcela boa, pouco desuniforme, mas sem sintoma, algumas plantas bem atrasadas  | A203:14/jan | P1AG:02/02 muito bom de planta, espiga leve | P1AG:08/fev | P23S:planta limpa, espiga fraca | A203:14/jan | A203:good quality | A203:12/jan | A201:good quality  | A203:14/jan | A202:18/jan | A203:high quality; bad recovery  | A203:14/jan | P23A:02/02 padrão de espiga pequena  | P1MO:espiga sem calibre | P23C:desuniforme, sintoma quase zero | A203:good quality, nice plant | P23A:08/fev | P1AG:02/02 sentiu na espiga | A201:15/jan | P1MO:pior que 2577 padrão de espiga | P23H:espiga menor, planta melhor que 77, espiga pior  | A203:13/01 | P23M:01/nov | A201:good qual, no depth | A201:15/jan | P23S:espiga curta e leve, planta boa sem perca | A203:good quality  | P1AG:06/fev | A201:17/01 | A203:14/jan | A203:14/jan | A203:very high sugar compared to our material, poor ear | A201:very poor tip fill, no depth but good quality | P23M:01/nov | P1AG:02/02 planta destaca sanidade, bem espigado, melhor rep dele | A203:not deep kernels | A203:14/jan | A202:17/01 | A201:17/010 | A202:17/01 | P23F:teto bem baixo, planta pouco melhor espiga mais fraca que 77 | A203:poor quality | P23M:teto pior que 2577 | P23M:poucas plantas afetadas, desuniforme,  | A203:14/jan | P23C:01/nov | A202:shallow kernels  | A201:bad ear; good foliar  | A203:14/jan | A202:good quality; bad ear  | A201:17/01 | P23H:espigas um pouco mais uniforme "
